codigo,descricao,grupo,total_movimento,data_baixa,estoque_minimo,tempo_reposicao,ano,mes
7036,CHAPEU PEND. INJ PRETO 8335 ASPEN,INJETADOS,350,2024-03-11 00:00:00.000,0,12,2024,3
6729,"TUBO ALUMINIO 2""X580MM ESTAMPADO",ELABORAÇÃO AX(1),10,2025-02-05 00:00:00.000,160,7,2025,2
5218,CARTELA CLICK PADRAO DUPLEX 300GR VERNIZ,EMBALAGEM,24,2024-05-16 00:00:00.000,3000,7,2024,5
7145,CONJ ARANDELA MARROM 8336 ASPEN,MONTADOS,24,2024-05-16 00:00:00.000,270,7,2024,5
7171,CONJ.8335/8336 MR (LENTE+QUADRO),INJETADOS,24,2024-05-16 00:00:00.000,521,12,2024,5
8182,CX  MASTER 470X385X220  REF: 8338,EMBALAGEM,"2,016",2024-05-16 00:00:00.000,85,7,2024,5
514,SOQUETE PORCELANA E27 FX11 CONICO,ELÉTRICO,2,2024-08-29 00:00:00.000,0,5,2024,8
569,TRAVESSA INJ PR,INJETADOS,1,2024-08-29 00:00:00.000,2000,12,2024,8
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,12,2025-02-07 00:00:00.000,10453,30,2025,2
672,"SACO PEBD LISO 27X38X0,08 BARRA 2",EMBALAGEM,6,2025-02-07 00:00:00.000,2000,20,2025,2
5218,CARTELA CLICK PADRAO DUPLEX 300GR VERNIZ,EMBALAGEM,6,2025-02-07 00:00:00.000,3000,7,2025,2
6435,CX MASTER REF 8265-8268-8422/3,EMBALAGEM,"0,9996",2025-02-07 00:00:00.000,55,10,2025,2
8412,CONJ.8441 BRANCO LENTE LEITOSA,INJETADOS,6,2025-02-07 00:00:00.000,45,12,2025,2
10342,CONJ SOQ 15 CM PRETO,MONTADOS,6,2025-02-07 00:00:00.000,600,7,2025,2
7430,"ARRUELA ACO DENTADA INT 10X18X0,9 ZB",FIXAÇÃO,2,2024-08-29 00:00:00.000,365,3,2024,8
7437,PORCA ACO FOGAO M10 X 3 MM ZB,FIXAÇÃO,2,2024-08-29 00:00:00.000,200,3,2024,8
10156,PORCA AL USINA 1/2ROSCA INT M10 BRANCO,PINTURA,1,2024-08-29 00:00:00.000,30,1,2024,8
